id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Galfryd;Siwek;Fryderyk.Kuchta75@yahoo.com;repurpose withdrawal;2021-10-08T02:31:42;71697;45464
2;Helena;Pałka;Brajan.Kaczmarek@gmail.com;withdrawal;2021-10-08T06:28:34;75289;21024
3;Walgierz;Szymański;Agnieszka.Jagodziski@gmail.com;Sleek;2021-10-07T15:31:58;71090;65309
4;Eleazar;Gąsiorowski;Angela.Kasprzak@hotmail.com;reinvent orchestrate;2021-10-07T11:01:35;52820;82484
5;Korneliusz;Kaczmarek;Paula14@hotmail.com;mobile Granite;2021-10-08T05:39:29;13439;33970
6;Alina;Cieślik;Roksana.Piwowarczyk73@gmail.com;Kolumbia time-frame;2021-10-07T14:25:41;64329;13556
7;Eliza;Drozdowski;Korneliusz72@yahoo.com;Devolved rich;2021-10-07T16:55:49;54588;45928
8;Ginewra;Zawadzki;Eudokia8@yahoo.com;payment Lubuskie;2021-10-08T06:59:13;3244;21747
9;Hipolit;Szymkowiak;Adam_Dudziski98@hotmail.com;white;2021-10-07T22:19:52;90189;81327
10;Agata;Sieradzki;Ferdynanda79@gmail.com;Table Dolnośląskie Checking;2021-10-07T11:00:02;32637;8639
